Name,Latitude,Longitude,lfd# Nr#,Stadtteil,Anzahl_beh,ort,Straße,Art,Abfuhrtag,Woche-g-ug,Telefon,Zeitbedarf
Papierkorb 200000387,51.4255119,6.611808334,1298,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000388,51.42444983,6.612225836,1299,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000390,51.42419024,6.613199981,1300,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001527,51.42521141,6.611877065,1301,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001528,51.42518752,6.611890728,1302,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001529,51.42542993,6.610470917,1303,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001530,51.42557343,6.610874757,1304,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000375,51.44750174,6.600408778,1305,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000376,51.44775781,6.60059955,1306,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000837,51.45166126,6.601484511,1307,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000838,51.45219745,6.602167552,1308,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000839,51.45231698,6.599867893,1309,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000840,51.4522863,6.599891363,1310,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000841,51.45230331,6.599868312,1311,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000842,51.45230331,6.599881975,1312,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000843,51.45224188,6.599901589,1313,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001378,51.44921266,6.600158159,1314,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001379,51.44926052,6.600186741,1315,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001380,51.44928097,6.600015163,1316,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001377,51.44674016,6.603793558,1317,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000374,51.44288792,6.611825852,1318,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000380,51.43852003,6.610228848,1319,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200000381,51.43865665,6.61027411,1320,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001352,51.44257033,6.61311591,1321,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001353,51.44259766,6.612973334,1322,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001355,51.44219809,6.613024967,1323,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001357,51.44146727,6.612582738,1324,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001358,51.44053831,6.612771833,1325,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001361,51.43979383,6.612575026,1326,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001362,51.4399509,6.612706957,1327,,1,Moers,,Papierkorb,,,,0.5
Papierkorb 200001363,51.4400022,6.61273554,1328,,1,Moers,,Papierkorb,,,,0.5
